row_index,true_value,predicted_class,predicted_probability,Unique ID,match_id,event_index,frame_start,frame_end,rec_player_id,rec_team_short,rec_team_id,dist_to_attacking_goal,team_out_of_possession_phase_type,player_targeted_dangerous,event_row_index,source_file,is_drawing,is_middle_third
890,1,1,0.8918731686662746,1899585_2928_2972,1899585.0,2928.0,36803.0,36803.0,133495.0,Auckland FC,4177.0,66.22492959603657,transition/quick_break,1.0,890,1899585.0,0,1
907,1,1,0.6615307556719162,1899585_3020_3044,1899585.0,3020.0,38060.0,38060.0,133498.0,Auckland FC,4177.0,70.10727850943866,medium_block,1.0,907,1899585.0,0,1
914,1,1,0.7882710882246992,1899585_3020_3044,1899585.0,3039.0,38157.0,38172.0,799092.0,Wellington P FC,867.0,80.34147185607195,medium_block,1.0,914,1899585.0,0,0
921,1,1,0.8205019973883747,1899585_3117_3139,1899585.0,3117.0,39165.0,39177.0,51015.0,Wellington P FC,867.0,72.96224845767844,medium_block,1.0,921,1899585.0,0,0
931,0,1,0.5992375858966593,1899585_3273_3276,1899585.0,3273.0,41027.0,41027.0,33697.0,Auckland FC,4177.0,87.1214164255839,chaotic/disruption,0.0,931,1899585.0,0,0
935,1,1,0.7909669651671369,1899585_3327_3355,1899585.0,3327.0,41569.0,41569.0,23418.0,Auckland FC,4177.0,46.29218508560597,medium_block,1.0,935,1899585.0,0,1
946,0,0,0.25053509190768875,1899585_3362_3366,1899585.0,3362.0,41697.0,41705.0,965684.0,Auckland FC,4177.0,68.50809295258482,high_block,0.0,946,1899585.0,0,1
949,0,1,0.7171038004639907,1899585_3423_3449,1899585.0,3423.0,42794.0,42804.0,26969.0,Wellington P FC,867.0,60.39580283430298,medium_block,0.0,949,1899585.0,0,1
960,1,1,0.9325499101788195,1899585_3456_3485,1899585.0,3456.0,42986.0,42998.0,38673.0,Auckland FC,4177.0,80.32255287277664,transition/quick_break,1.0,960,1899585.0,0,0
1005,1,1,0.9798949663273963,1899585_3456_3503,1899585.0,3491.0,43284.0,43323.0,43829.0,Auckland FC,4177.0,34.9953282596406,transition/quick_break,1.0,1005,1899585.0,0,0
1022,0,1,0.5825250026210148,1899585_3525_3532,1899585.0,3525.0,43471.0,43476.0,4322.0,Auckland FC,4177.0,55.34581917362864,chaotic/disruption,0.0,1022,1899585.0,0,1
1026,0,0,0.24834650131566421,1899585_3821_3871,1899585.0,3821.0,48628.0,48635.0,34718.0,Wellington P FC,867.0,101.2931192134984,high_block,0.0,1026,1899585.0,0,0
