error,Unique ID,event_row_index,max_player_targeted_xthreat,player_targeted_dangerous,n_passing_options_dangerous_not_difficult
no_player_id,1899585_175_219,512,,,
no_player_id,1899585_175_219,513,,,
no_player_id,1899585_175_219,514,,,
no_player_id,1899585_175_219,515,,,
no_player_id,1899585_175_219,516,,,
no_player_id,1899585_175_219,517,,,
no_player_id,1899585_175_219,518,,,
no_player_id,1899585_175_219,519,,,
no_player_id,1899585_175_219,520,,,
no_player_id,1899585_175_219,521,,,
no_player_id,1899585_175_219,522,,,
no_player_id,1899585_175_219,523,,,
no_player_id,1899585_175_219,524,,,
no_player_id,1899585_260_275,525,,,
no_player_id,1899585_260_275,526,,,
no_player_id,1899585_260_275,527,,,
no_player_id,1899585_260_275,528,,,
no_player_id,1899585_260_275,529,,,
no_player_id,1899585_260_275,530,,,
no_player_id,1899585_309_351,531,,,
no_player_id,1899585_309_351,532,,,
no_player_id,1899585_309_351,533,,,
no_player_id,1899585_309_351,534,,,
no_player_id,1899585_309_351,535,,,
no_player_id,1899585_309_351,536,,,
no_player_id,1899585_309_351,537,,,
no_player_id,1899585_309_351,538,,,
no_player_id,1899585_309_351,539,,,
no_player_id,1899585_309_351,540,,,
no_player_id,1899585_309_351,541,,,
no_player_id,1899585_309_351,542,,,
no_player_id,1899585_309_351,543,,,
no_player_id,1899585_309_351,544,,,
no_player_id,1899585_309_351,545,,,
no_player_id,1899585_309_351,546,,,
no_player_id,1899585_309_351,547,,,
no_player_id,1899585_309_351,548,,,
no_player_id,1899585_358_382,549,,,
no_player_id,1899585_358_382,550,,,
no_player_id,1899585_358_382,551,,,
no_player_id,1899585_358_382,552,,,
no_player_id,1899585_358_382,553,,,
no_player_id,1899585_358_382,554,,,
no_player_id,1899585_358_382,555,,,
no_player_id,1899585_358_382,556,,,
no_player_id,1899585_358_382,557,,,
no_player_id,1899585_358_382,558,,,
no_player_id,1899585_391_405,559,,,
no_player_id,1899585_391_405,560,,,
no_player_id,1899585_391_405,561,,,
no_player_id,1899585_391_405,562,,,
no_player_id,1899585_391_405,563,,,
no_player_id,1899585_391_405,564,,,
no_player_id,1899585_391_405,565,,,
no_player_id,1899585_391_405,566,,,
no_player_id,1899585_900_928,567,,,
no_player_id,1899585_900_928,568,,,
no_player_id,1899585_900_928,569,,,
no_player_id,1899585_900_928,570,,,
no_player_id,1899585_900_928,571,,,
no_player_id,1899585_900_928,572,,,
no_player_id,1899585_900_928,573,,,
no_player_id,1899585_900_928,574,,,
no_player_id,1899585_900_928,575,,,
no_player_id,1899585_900_928,576,,,
no_player_id,1899585_900_928,577,,,
no_player_id,1899585_900_928,578,,,
no_player_id,1899585_900_928,579,,,
no_player_id,1899585_1007_1010,580,,,
no_player_id,1899585_1007_1010,581,,,
no_player_id,1899585_1014_1035,582,,,
no_player_id,1899585_1014_1035,583,,,
no_player_id,1899585_1014_1035,584,,,
no_player_id,1899585_1014_1035,585,,,
no_player_id,1899585_1014_1035,586,,,
no_player_id,1899585_1014_1035,587,,,
no_player_id,1899585_1014_1035,588,,,
no_player_id,1899585_1014_1035,589,,,
no_player_id,1899585_1014_1035,590,,,
no_player_id,1899585_1038_1094,591,,,
no_player_id,1899585_1038_1094,592,,,
no_player_id,1899585_1038_1094,593,,,
no_player_id,1899585_1038_1094,594,,,
no_player_id,1899585_1038_1094,595,,,
no_player_id,1899585_1038_1094,596,,,
no_player_id,1899585_1038_1094,597,,,
no_player_id,1899585_1038_1094,598,,,
no_player_id,1899585_1038_1094,599,,,
no_player_id,1899585_1038_1094,600,,,
no_player_id,1899585_1038_1094,601,,,
no_player_id,1899585_1038_1094,602,,,
no_player_id,1899585_1038_1094,603,,,
no_player_id,1899585_1038_1094,604,,,
no_player_id,1899585_1038_1094,605,,,
no_player_id,1899585_1038_1094,606,,,
no_player_id,1899585_1038_1094,607,,,
no_player_id,1899585_1038_1094,608,,,
no_player_id,1899585_1038_1094,609,,,
no_player_id,1899585_1038_1094,610,,,
no_player_id,1899585_1099_1117,611,,,
no_player_id,1899585_1099_1117,612,,,
no_player_id,1899585_1099_1117,613,,,
no_player_id,1899585_1099_1117,614,,,
no_player_id,1899585_1099_1117,615,,,
no_player_id,1899585_1099_1117,616,,,
no_player_id,1899585_1099_1117,617,,,
no_player_id,1899585_1099_1122,618,,,
no_player_id,1899585_1099_1122,619,,,
no_player_id,1899585_1099_1122,620,,,
no_player_id,1899585_1099_1122,621,,,
no_player_id,1899585_1099_1122,622,,,
no_player_id,1899585_1099_1122,623,,,
no_player_id,1899585_1099_1122,624,,,
no_player_id,1899585_1099_1122,625,,,
no_player_id,1899585_1099_1122,626,,,
no_player_id,1899585_1099_1124,627,,,
no_player_id,1899585_1099_1124,628,,,
no_player_id,1899585_1099_1124,629,,,
no_player_id,1899585_1099_1124,630,,,
no_player_id,1899585_1099_1124,631,,,
no_player_id,1899585_1099_1124,632,,,
no_player_id,1899585_1099_1124,633,,,
no_player_id,1899585_1099_1124,634,,,
no_player_id,1899585_1099_1124,635,,,
no_player_id,1899585_1099_1124,636,,,
no_player_id,1899585_1099_1124,637,,,
no_player_id,1899585_1237_1253,638,,,
no_player_id,1899585_1237_1253,639,,,
no_player_id,1899585_1237_1253,640,,,
no_player_id,1899585_1237_1253,641,,,
no_player_id,1899585_1237_1253,642,,,
no_player_id,1899585_1237_1253,643,,,
no_player_id,1899585_1237_1253,644,,,
no_player_id,1899585_1258_1282,645,,,
no_player_id,1899585_1258_1282,646,,,
no_player_id,1899585_1258_1282,647,,,
no_player_id,1899585_1258_1282,648,,,
no_player_id,1899585_1258_1282,649,,,
no_player_id,1899585_1258_1282,650,,,
no_player_id,1899585_1258_1282,651,,,
no_player_id,1899585_1258_1282,652,,,
no_player_id,1899585_1258_1282,653,,,
no_player_id,1899585_1258_1282,654,,,
no_player_id,1899585_1258_1282,655,,,
no_player_id,1899585_1258_1282,656,,,
no_player_id,1899585_1258_1282,657,,,
no_player_id,1899585_1258_1282,658,,,
no_player_id,1899585_1258_1292,659,,,
no_player_id,1899585_1258_1292,660,,,
no_player_id,1899585_1258_1292,661,,,
